id,name,product_group_name,store_name,location,asset_number,serial_number,weight,replacement_charge,quantity_held,asset_replacement_value,purchase_price,effective_date,written_off,sold
488,Teranex AV,Vision,LDMtv,"",LDM1167,6020795,1.7,1216.0,1.0,1216.0,1216.0,2024-04-30 23:00:00 UTC,,
489,Teranex AV,Vision,LDMtv,"",LDM1168,6021774,1.7,1216.0,1.0,1216.0,1216.0,2024-04-30 23:00:00 UTC,,
1443,Teranex AV,Vision,LDMtv,T16 TSV,LDM1319,3781485,1.7,1216.0,1.0,1216.0,1216.0,2020-12-17 00:00:00 UTC,,
1492,Teranex AV,Vision,LDMtv,Man City - CAR (GFX),LDM1932,N/A,1.7,1216.0,1.0,1216.0,1216.0,2025-01-03 00:00:00 UTC,,
704,Teranex Express,Vision,LDMtv,Man City - CAR (CityTV),LDM0490,3059659,2.0,1139.0,1.0,1139.0,1139.0,2024-11-25 00:00:00 UTC,,
540,Teranex Mini Audio to SDI 12G,Vision,LDMtv,A2,61009,3062321,0.65,439.0,1.0,439.0,439.0,2024-06-02 23:00:00 UTC,,
346,TK13,Vision,LDMtv,"",LDM1005,TK13A6708C025,0.0,210.0,1.0,210.0,210.0,2023-08-24 23:00:00 UTC,,
1422,TK13,Vision,LDMtv,T16 Sound,LDM1363,TK13TA40632178,0.0,210.0,1.0,210.0,210.0,2020-12-17 00:00:00 UTC,,
1098,TLC200 Time Lapse Camera,Vision,LDMtv,N3,LDM1933,TBF3800116,0.4,269.0,1.0,269.0,0.0,2024-12-09 00:00:00 UTC,,
1099,TLC200 Time Lapse Camera,Vision,LDMtv,N3,LDM1934,TBF3800108,0.4,269.0,1.0,269.0,0.0,2024-12-09 00:00:00 UTC,,
1105,TLM-170H,Vision,LDMtv,E1,LDM1495,00378480,5.6,2018.0,1.0,2018.0,0.0,2024-12-09 00:00:00 UTC,,
1407,UE22k5000AK,Vision,LDMtv,"",LDM1375,078234FK302220F,3.1,0.0,1.0,0.0,170.0,2024-12-17 00:00:00 UTC,,
1841,UltraStudio Express,Vision,LDMtv,"",LDM1302,1375120,0.4,0.0,1.0,0.0,0.0,2020-06-24 23:00:00 UTC,,
918,UltraStudio Mini Recorder,Vision,LDMtv,C2,LDM1664,3619223,0.2,114.0,1.0,114.0,0.0,2024-12-02 00:00:00 UTC,,
919,UltraStudio Mini Recorder,Vision,LDMtv,C2,LDM1665,5394544,0.2,114.0,1.0,114.0,0.0,2024-12-02 00:00:00 UTC,,
921,UltraStudio Recorder 3g,Vision,LDMtv,C2,LDM1661,11148336,0.2,115.0,1.0,115.0,0.0,2024-12-02 00:00:00 UTC,,
922,UltraStudio Recorder 3g,Vision,LDMtv,C2,LDM1662,11260959,0.2,115.0,1.0,115.0,0.0,2024-12-02 00:00:00 UTC,,
458,Universal Videohub 288,Vision,LDMtv,V16,LDM1139,5974249,23.5,10020.0,1.0,10020.0,10020.0,2024-03-26 00:00:00 UTC,,
696,Universal Videohub 288 Crosspoint card,Vision,LDMtv,"","","",1.0,6951.0,2.0,13902.0,6951.0,2020-11-21 00:00:00 UTC,,
699,Universal Videohub Optical Interface,Vision,LDMtv,"","","",0.3,730.0,7.0,5110.0,730.0,2020-11-21 00:00:00 UTC,,
456,Universal Videohub Power Supply,Vision,LDMtv,A2,61017,5956725,4.5,2232.0,1.0,2232.0,2232.0,2024-03-26 00:00:00 UTC,,
457,Universal Videohub Power Supply,Vision,LDMtv,A2,61018,5956728,4.5,2232.0,1.0,2232.0,2232.0,2024-03-26 00:00:00 UTC,,
698,Universal Videohub SDI Interface card,Vision,LDMtv,"","","",0.2,296.0,63.0,18648.0,296.0,2020-11-21 00:00:00 UTC,,
1262,V-401A.05 - EBU Option Fitted,Vision,LDMtv,"",LDM1451,170000,1.15,600.0,1.0,600.0,600.0,2024-12-16 00:00:00 UTC,,
1225,V-401A.05 - EBU Option Fitted,Vision,LDMtv,"",LDM1457,167745,1.15,600.0,1.0,600.0,600.0,2024-12-10 00:00:00 UTC,,
1266,VFM-056W,Vision,LDMtv,B3,LDM1423,N/A,2.9,885.0,1.0,885.0,885.0,2024-12-16 00:00:00 UTC,,
999,Video Assist,Vision,LDMtv,C3,LDM1050,3482977,1.0,652.0,1.0,652.0,0.0,2024-12-02 00:00:00 UTC,,
550,Videohub Master Control,Vision,LDMtv,A2,61011,2251753,0.8,583.0,1.0,583.0,583.0,2024-06-02 23:00:00 UTC,,
551,Videohub Master Control,Vision,LDMtv,A2,61016,2251751,0.8,583.0,1.0,583.0,583.0,2024-06-02 23:00:00 UTC,,
1433,Videohub Master Control Pro,Vision,LDMtv,A2,61007,8701285,1.05,630.0,1.0,630.0,630.0,2020-12-17 00:00:00 UTC,,
1040,Videotek Compact Monitor,Vision,LDMtv,"",LDM1547,031100492,1.2,4500.0,1.0,4500.0,4500.0,2024-12-09 00:00:00 UTC,,
1229,VidiU,Vision,LDMtv,C2,LDM1429,24517348,0.2,199.0,1.0,199.0,0.0,2024-12-10 00:00:00 UTC,,
1228,VidiU,Vision,LDMtv,C2,LDM1430,24517283D,0.2,199.0,1.0,199.0,0.0,2024-12-10 00:00:00 UTC,,
920,VidiU,Vision,LDMtv,C2,LDM1660,24517284D,0.2,199.0,1.0,199.0,0.0,2024-12-02 00:00:00 UTC,,
890,VidiU-Pro,Vision,LDMtv,B2,LDM1679,21901787,0.2,413.0,1.0,413.0,0.0,2024-12-02 00:00:00 UTC,,
1441,V-LCD 171MD,Vision,LDMtv,T16 TSV,LDM1343,423558182811,3.47,1083.0,1.0,1083.0,1083.0,2020-12-17 00:00:00 UTC,,
945,WDM Media Converter Pair A,Vision,LDMtv,"",5368896,5368896,1.0,20.0,1.0,20.0,20.0,2024-12-02 00:00:00 UTC,,
950,WDM Media Converter Pair B,Vision,LDMtv,"",5368871,5368871,1.0,20.0,1.0,20.0,20.0,2024-12-02 00:00:00 UTC,,
1286,XDIP-PoE,Vision,LDMtv,D,T16-108,2302A0376089,1.6,552.0,1.0,552.0,552.0,2024-12-16 00:00:00 UTC,,
477,XVM-175W,Vision,LDMtv,V16,LDM1158,XV175N0251,6.4,572.0,1.0,572.0,572.0,2024-03-26 00:00:00 UTC,,
1426,XVM-175W,Vision,LDMtv,T16 Sound,LDM1360,XV175M0214,6.4,572.0,1.0,572.0,572.0,2020-12-17 00:00:00 UTC,,
1018,Yellobrik CHD 1812,Vision,LDMtv,B2,LDM0558,02229,0.0,1240.0,1.0,1240.0,0.0,2024-12-03 00:00:00 UTC,,
889,Yellobrik CHD 1812,Vision,LDMtv,B2,LDM1678,02230,0.0,1240.0,1.0,1240.0,0.0,2024-12-02 00:00:00 UTC,,
885,Yellobrik CHD 1812,Vision,LDMtv,"",LDM1686,02231,0.0,1240.0,1.0,1240.0,0.0,2024-12-02 00:00:00 UTC,,
351,Yellobrik ORR 1802,Vision,LDMtv,"",LDM1024,"",0.1,510.0,1.0,510.0,510.0,2023-08-24 23:00:00 UTC,,
1029,Yellobrik ORX 1802,Vision,LDMtv,"",T16-106,01206,0.2,624.0,1.0,624.0,0.0,2024-12-09 00:00:00 UTC,,
1336,Yellobrik OTR 1810,Vision,LDMtv,"",LDM 1799,100008181003260,0.2,490.0,1.0,490.0,490.0,2024-12-17 00:00:00 UTC,,
352,Yellobrik OTT 1842,Vision,LDMtv,"",LDM1022,"",0.1,400.0,1.0,400.0,400.0,2023-08-24 23:00:00 UTC,,
353,Yellobrik OTT 1842,Vision,LDMtv,"",LDM1025,"",0.1,400.0,1.0,400.0,400.0,2023-08-24 23:00:00 UTC,,
354,Yellobrik OTX 1842,Vision,LDMtv,"",LDM1023,"",0.1,340.0,1.0,340.0,340.0,2023-08-24 23:00:00 UTC,,
392,YellowBrik SPG-1707,Vision,LDMtv,T16 Rack,LDM1006,"",0.3,610.0,1.0,610.0,610.0,2023-08-24 23:00:00 UTC,,
1303,850 EVO 1TB SSD,VTR,LDMtv,C2,LDM1413,S2RFNX0K104929F,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1302,850 EVO 1TB SSD,VTR,LDMtv,C2,LDM1416,S2RFNX0K105099B,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1301,870 EVO 1TB SSD,VTR,LDMtv,C2,LDM1119,S75CNX0W506880E,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1299,870 EVO 1TB SSD,VTR,LDMtv,C2,LDM1120,S75CNX0W510537W,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1300,870 EVO 1TB SSD,VTR,LDMtv,C2,LDM1121,S75CNX0W509980B,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1295,870 QVO 1TB SSD,VTR,LDMtv,C2,LDM1122,S5RRNF0W215670D,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1294,870 QVO 1TB SSD,VTR,LDMtv,C2,LDM1124,S5RRNF0W215703T,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1293,870 QVO 1TB SSD,VTR,LDMtv,C2,LDM1125,S5RRNF0W215693X,0.09,90.0,1.0,90.0,90.0,2024-12-16 00:00:00 UTC,,
1417,Hyperdeck Studio 12G,VTR,LDMtv,T16,LDM1367,3978116,1.63,1379.0,1.0,1379.0,1379.0,2024-12-17 00:00:00 UTC,,
539,Hyperdeck Studio Mini,VTR,LDMtv,A2,61008,4582370,0.8,405.0,1.0,405.0,405.0,2024-06-02 23:00:00 UTC,,
307,HyperDeck Studio Pro 2,VTR,LDMtv,A2,LDM0543,1727885,1.8,888.0,1.0,888.0,888.0,2023-08-24 23:00:00 UTC,,
538,HyperDeck Studio Pro 2,VTR,LDMtv,A2,LDM1825,4686965,1.8,888.0,1.0,888.0,888.0,2024-06-02 23:00:00 UTC,,
1027,LSM - RCU-XT,VTR,LDMtv,"",LDM1570,R139300,2.6,3124.0,1.0,3124.0,3124.0,2024-12-09 00:00:00 UTC,,
1026,LSM - RCU-XT,VTR,LDMtv,"",LDM1575,R141740,2.6,3124.0,1.0,3124.0,3124.0,2024-12-09 00:00:00 UTC,,
532,PIX270i,VTR,LDMtv,V16,LDM1831,MA0416336006,3.2,3400.0,1.0,3400.0,3400.0,2024-06-02 23:00:00 UTC,,
529,PIX270i,VTR,LDMtv,A2,LDM1834,MA0416336004,3.2,3400.0,1.0,3400.0,3400.0,2024-06-02 23:00:00 UTC,,
530,PIX270i,VTR,LDMtv,A2,LDM1835,MA0417018003,3.2,3400.0,1.0,3400.0,3400.0,2024-06-02 23:00:00 UTC,,
531,PIX270i,VTR,LDMtv,V16,LDM1836,MA04170106007,3.2,3400.0,1.0,3400.0,3400.0,2024-06-02 23:00:00 UTC,,
2019,RCU-VIA,VTR,LDMtv,"",65085,U029810,7.0,7735.0,1.0,7735.0,7.0,2025-07-03 23:00:00 UTC,,
1474,RCU-VIA,VTR,LDMtv,"",LDM1322,U023380,7.0,7735.0,1.0,7735.0,7.0,2024-12-19 00:00:00 UTC,,
1182,Samurai Blade,VTR,LDMtv,C4,LDM1471,B1094SMB50B81,2.4,527.0,1.0,527.0,527.0,2024-12-10 00:00:00 UTC,,
1184,Samurai Blade,VTR,LDMtv,C4,LDM1472,B1094SMB50B85,2.4,527.0,1.0,527.0,527.0,2024-12-10 00:00:00 UTC,,
1185,Samurai Blade,VTR,LDMtv,C4,LDM1473,B1094SMB50B28,2.4,527.0,1.0,527.0,527.0,2024-12-10 00:00:00 UTC,,
1181,Samurai Blade,VTR,LDMtv,C4,LDM1475,n/a,2.4,527.0,1.0,527.0,527.0,2024-12-10 00:00:00 UTC,,
1003,XC8,VTR,LDMtv,"",T16-078,436647,1.2,1918.0,1.0,1918.0,0.0,2024-12-02 00:00:00 UTC,,
439,Xfile 3,VTR,LDMtv,"",LDM1866,A425460,12.2,25000.0,1.0,25000.0,0.0,2024-02-21 00:00:00 UTC,,
438,XT-Go,VTR,LDMtv,"",LDM1865,A427320,36.0,90000.0,1.0,90000.0,0.0,2024-02-21 00:00:00 UTC,,
